id,City_Name,State_code,Population,Density_People_Per_Acre,Population_Growth_Compare_2000,Adjusted_Land_Area,Total_Acres_Park_Area,Total_Park_Units,Acres_per_thousand_people,Parks_per_ten_thousand_residents,Parks_Percent_City_Area,Walkable_access_All,Walkable_Access_Black,Hispanic,Asian,Other_race,Multiple_races,Pacific_Islander,Native_American,All_People_of_color,White,Walkability_Low_Income,Middle_Income,High_Income,Trail_Miles_per_hundred_thousand_residents,Total_spending_per_capita,city_latitudecity_longitude,,,,
1,Albuquerque,NM,567242,5,0.26,113711,22157,300,39.1,5.3,0.19,0.91,0.9,0.9,0.9,0.91,0.91,0.9,0.9,0.9,0.91,0.89,0.91,0.91,3,146,33.8366,-117.9143,,,
2,Anaheim,CA,346023,10.8,0.06,32176,4584,70,13.2,2,0.14,0.67,0.63,0.68,0.67,0.67,0.67,0.68,0.67,0.67,0.67,0.65,0.66,0.69,0,83,61.2181,-149.9003,,,
3,Anchorage,AK,290509,0.3,0.12,1087624,871795,246,3000.9,8.5,0.8,0.76,0.79,0.75,0.82,0.76,0.78,0.88,0.82,0.8,0.72,0.82,0.79,0.73,5,76,32.7357,-97.1081,,,
4,Arlington,TX,399679,6.6,0.2,60824,4321,100,10.8,2.5,0.07,0.6,0.59,0.62,0.63,0.61,0.6,0.62,0.63,0.61,0.59,0.6,0.59,0.59,46,78,38.8787,-77.1016,,,
5,Arlington,VA,246301,15.5,0.3,15918,1759,156,7.1,6.3,0.11,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,19,267,33.749,-84.388,,,
6,Atlanta,GA,515426,6,0.24,85564,5530,395,10.7,7.7,0.06,0.77,0.73,0.77,0.77,0.79,0.8,0.8,0.77,0.74,0.82,0.76,0.78,0.81,2,204,39.7294,-104.8319,,,
7,Aurora,CO,398994,3.8,0.45,103640,10409,116,26.1,2.9,0.1,0.87,0.88,0.91,0.87,0.89,0.88,0.92,0.87,0.89,0.85,0.88,0.88,0.85,36,118,30.2672,-97.7431,,,
8,Austin,TX,1003496,5.8,0.53,172115,19069,336,19,3.3,0.11,0.7,0.68,0.7,0.67,0.71,0.7,0.69,0.67,0.7,0.71,0.71,0.69,0.7,121,187,35.3733,-119.0187,,,
9,Bakersfield,CA,410726,4.3,0.66,95768,5364,78,13.1,1.9,0.06,0.46,0.48,0.46,0.43,0.45,0.47,0.46,0.43,0.46,0.47,0.47,0.48,0.47,1,106,39.2904,-76.6122,,,
10,Baltimore,MD,576870,11.2,-0.11,51319,5102,322,8.8,5.6,0.1,0.87,0.89,0.8,0.91,0.86,0.88,0.88,0.91,0.88,0.85,0.89,0.87,0.86,27,137,30.4515,-91.1871,,,
