id,city,state,location,year,city_latitude,city_longitude,report_link
1,Chester,VA,"Chester, VA",2019,37.343151515151526,-77.408581818182,http://www.nuforc.org/webreports/151/S151739.html
2,Rocky Hill,CT,"Rocky Hill, CT",2019,41.66480000000001,-72.6392999999999,http://www.nuforc.org/webreports/145/S145297.html
3,Ottawa,ON,"Ottawa, ON",2019,45.381382500000214,-75.70850071428617,http://www.nuforc.org/webreports/145/S145697.html
4,Kirbyville,TX,"Kirbyville, TX",2019,30.6772,-94.0052,http://www.nuforc.org/webreports/145/S145476.html
5,Tucson,AZ,"Tucson, AZ",2019,32.25994075660238,-110.92754232690946,http://www.nuforc.org/webreports/145/S145947.html
6,Gold Canyon,AZ,"Gold Canyon, AZ",2019,33.3715,-111.4369,http://www.nuforc.org/webreports/145/S145766.html
8,Brookville,IN,"Brookville, IN",2019,39.4047,-84.97360000000002,http://www.nuforc.org/webreports/146/S146900.html
9,Melbourne Beach,FL,"Melbourne Beach, FL",2019,27.966799999999992,-80.5096,http://www.nuforc.org/webreports/146/S146805.html
10,Carrizozo,NM,"Carrizozo, NM",2019,33.7849,-105.8332,http://www.nuforc.org/webreports/146/S146759.html
14,Yuba City,CA,"Yuba City, CA",2019,39.05981141552499,-121.66825616438334,http://www.nuforc.org/webreports/148/S148345.html
15,Abilene,TX,"Abilene, TX",2019,32.394351384615476,-99.7900440000002,http://www.nuforc.org/webreports/148/S148373.html
16,Santa Barbara,CA,"Santa Barbara, CA",2019,34.31703810344835,-119.72054137931023,http://www.nuforc.org/webreports/148/S148122.html
17,Charlestown,RI,"Charlestown, RI",2019,41.395999999999994,-71.6631,http://www.nuforc.org/webreports/148/S148130.html
18,Springfield,TN,"Springfield, TN",2019,36.50860000000007,-86.85630000000012,http://www.nuforc.org/webreports/148/S148057.html
19,Maitland,FL,"Maitland, FL",2019,28.62938584070791,-81.36191061946894,http://www.nuforc.org/webreports/147/S147896.html
20,Clarksville,TN,"Clarksville, TN",2019,36.51515837104077,-87.36103416289579,http://www.nuforc.org/webreports/147/S147963.html
112,Kevil,KY,"Kevil, KY",2019,37.08120000000001,-88.9091,http://www.nuforc.org/webreports/145/S145201.html
127,Spring Hill,FL,"Spring Hill, FL",2019,28.469209062499964,-82.53924249999976,http://www.nuforc.org/webreports/145/S145252.html
